No,product_id,name,original_price,discount,sale_price,product_url,image_url
74,post-72427,"Silicone Spoon Rest Holder",₨ 350,-49%,₨ 180,https://ebuy.pk/product/silicone-spoon-rest-holder/,https://ebuy.pk/wp-content/uploads/Silicone-Spoon-Rest-Holder-At-Best-Price-In-Pakistan-247x307.jpg
98,post-7244,"Kitchen Spoons Cooking Utensils Set – 6 Pcs","₨ 3,300",-33%,"₨ 2,200",https://ebuy.pk/product/kitchen-spoons-cooking-utensils-set/,https://ebuy.pk/wp-content/uploads/Kitchen-Spoons-Cooking-Utensils-Set-6-Pcs-in-Pakistan-247x307.jpg
179,post-72537,"Fan Faucet Flexible With Clip 360 Adjustable",₨ 300,-33%,₨ 200,https://ebuy.pk/product/fan-faucet-flexible-with-clip-360-adjustable/,https://ebuy.pk/wp-content/uploads/Fan-Faucet-Flexible-With-Clip-360-Adjustable-At-Best-Price-In-Pakistan-2-247x307.jpg
114,post-7282,"Nova Hair Straightener & Curler","₨ 3,500",-31%,"₨ 2,400",https://ebuy.pk/product/nova-hair-straightener-curler/,https://ebuy.pk/wp-content/uploads/Nova-Hair-Straightener-Curler-Online-in-Pakistan-3-247x307.jpg
73,post-73169,"Power Balloon Car Toy Balloon Pump For Kids","₨ 2,200",-27%,"₨ 1,600",https://ebuy.pk/product/power-balloon-car-toy-balloon-pump-for-kids/,https://ebuy.pk/wp-content/uploads/Power-Balloon-Car-Toy-Price-In-Pakistan-5-247x307.jpg
25,post-7335,"Remington Hair Curling Iron","₨ 5,000",-44%,"₨ 2,800",https://ebuy.pk/product/remington-hair-curling-iron/,https://ebuy.pk/wp-content/uploads/Remington-Hair-Curling-Iron-Wand-Online-At-Best-Price-In-Pakistan-247x307.jpg
97,post-7551,"Waterproof Mosquito Wristband",₨ 900,-44%,₨ 500,https://ebuy.pk/product/waterproof-mosquito-wristband/,https://ebuy.pk/wp-content/uploads/Waterproof-Mosquito-Wristband-Online-Best-Price-In-Pakistan-247x307.jpg
132,post-7556,"Bluetooth Audio Receiver With Microphone",₨ 900,-44%,₨ 500,https://ebuy.pk/product/bluetooth-audio-receiver-microphone/,https://ebuy.pk/wp-content/uploads/Bluetooth-Audio-Receiver-With-Microphone-in-Pakistan-247x307.jpg
19,post-75627,"Cake Leveler Slicer Cutter with Adjustable Wire","₨ 1,200",-42%,₨ 700,https://ebuy.pk/product/cake-leveler-slicer-cutter-with-adjustable-wire/,https://ebuy.pk/wp-content/uploads/Cake-Leveler-Slicer-Cutter-Online-at-Best-Price-In-Pakistan-247x307.jpg
119,post-7590,"USB LED Light – Pack Of 5",₨ 900,-44%,₨ 500,https://ebuy.pk/product/usb-led-light-pack-5/,https://ebuy.pk/wp-content/uploads/USB-LED-Light-Pack-Of-5-Online-in-Pakistan-247x307.jpg
72,post-76295,"Double Sided Silicone Door Stopper Wall Protection",₨ 400,-35%,₨ 260,https://ebuy.pk/product/silicone-door-stopper/,https://ebuy.pk/wp-content/uploads/Double-Sided-Silicone-Door-Stopper-Wall-Protection-Price-In-Pakistan-247x307.jpg
18,post-76652,"Electric Beard Straightener Hair Straightening Comb For Men","₨ 1,600",-44%,₨ 900,https://ebuy.pk/product/electric-beard-straightener/,https://ebuy.pk/wp-content/uploads/Electric-Beard-Straightener-Online-at-Best-Price-In-Pakistan-2-247x307.jpg
117,post-7831,"Night Light Baby Projector Lamp","₨ 3,000",-30%,"₨ 2,100",https://ebuy.pk/product/night-light-baby-projector-lamp/,https://ebuy.pk/wp-content/uploads/Night-Light-Baby-Projector-Lamp-Online-in-Pakistan-247x307.jpg
5,post-81944,"Veet Sensitive Touch Hair Trimmer Hair Remover For Women","₨ 1,800",-44%,"₨ 1,000",https://ebuy.pk/product/veet-sensitive-touch-hair-trimmer/,https://ebuy.pk/wp-content/uploads/Veet-Sensitive-Touch-Hair-Trimmer-Hair-Remover-For-Women-Online-Best-Price-In-Pakistan-247x307.jpg
71,post-84760,"Toothpaste Squeezer Rolling Tube Squeezer Toothpaste Press Holder",₨ 250,-40%,₨ 150,https://ebuy.pk/product/toothpaste-squeezer/,https://ebuy.pk/wp-content/uploads/Toothpaste-Squeezer-Rolling-Tube-Squeezer-Toothpaste-Press-Holder-Online-at-Best-Price-In-Pakistan-247x307.jpg
70,post-85026,"Kitchen Bathroom Shelf Wall Mounted Storage Rack Organizer","₨ 1,200",-25%,₨ 900,https://ebuy.pk/product/kitchen-bathroom-shelf/,https://ebuy.pk/wp-content/uploads/Kitchen-Bathroom-Shelf-Wall-Mounted-Storage-Rack-Organizer-Online-in-Pakistan-247x307.jpg
113,post-8564,"Fast Hair Straightener Brush","₨ 2,900",-38%,"₨ 1,800",https://ebuy.pk/product/fast-hair-straightener-brush/,https://ebuy.pk/wp-content/uploads/Fast-Hair-Straightener-Brush-Best-Price-in-Pakistan-3-247x307.jpg
23,post-86380,"Mini Hair Straightener Flat Iron",₨ 900,-22%,₨ 700,https://ebuy.pk/product/mini-hair-straightener/,https://ebuy.pk/wp-content/uploads/Mini-Hair-Straightener-Flat-Iron-at-Best-Price-In-Pakistan-2-247x307.jpg
177,post-86950,"LED Photo Clips String Lights for Decoration","₨ 1,800",-33%,"₨ 1,200",https://ebuy.pk/product/led-photo-clips-string-lights/,https://ebuy.pk/wp-content/uploads/LED-Photo-Clips-String-Lights-for-Decoration-at-Best-Price-in-Pakistan-247x307.jpg
142,post-87489,"Skin Face Ice Roller Cool Massager","₨ 1,000",-30%,₨ 700,https://ebuy.pk/product/skin-face-ice-roller/,https://ebuy.pk/wp-content/uploads/Skin-Face-Ice-Roller-Cool-Massager-online-at-best-price-in-Pakistan-247x307.jpg
95,post-8854,"2 in 1 Hair Styler – Straightener & Curler","₨ 4,500",-20%,"₨ 3,600",https://ebuy.pk/product/2-1-hair-styler-straightener-curler/,https://ebuy.pk/wp-content/uploads/2-in-1-Hair-Styler-Straightener-Curler-Online-in-Pakistan-3-247x307.jpg
96,post-8859,"3 in 1 Multi-functional 360 Degree Rotary Vegetable Peeler",₨ 400,-40%,₨ 240,https://ebuy.pk/product/3-1-360-degree-rotary-vegetable-peeler/,https://ebuy.pk/wp-content/uploads/3-in-1-Multi-functional-360-Degree-Rotary-Vegetable-Peeler-online-at-best-price-in-Pakistan-247x307.jpg
140,post-88829,"Finishing Touch Flawless Contour Facial Roller & Massager","₨ 1,200",-25%,₨ 900,https://ebuy.pk/product/finishing-touch-flawless-contour/,https://ebuy.pk/wp-content/uploads/Finishing-Touch-Flawless-Contour-Facial-Roller-Online-In-Pakistan-1-247x307.jpg
17,post-89241,"Kemei 2 in 1 Epilator & Shaver Body Hair Removal Machine","₨ 5,500",-25%,"₨ 4,100",https://ebuy.pk/product/kemei-2-in-1-epilator-shaver/,https://ebuy.pk/wp-content/uploads/Kemei-2-in-1-Epilator-Shaver-Body-Hair-Removal-Machine-online-at-best-price-in-Pakistan-2-247x307.jpg
161,post-89510,"Mini USB Food Chopper Rechargeable Electric Grinder","₨ 2,500",-36%,"₨ 1,600",https://ebuy.pk/product/mini-usb-food-chopper/,https://ebuy.pk/wp-content/uploads/Mini-USB-Food-Chopper-Online-Best-Price-In-Pakistan-247x307.jpg
